FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201303,2,0,1007294,441421,"D","03/02/2013 00:00:00",1,"M","Outside/Open Areas",201303
201303,17,0,1007295,441422,"D","03/17/2013 00:00:00",43,"M","Outside/Open Areas",201303
201303,16,0,1007296,442478,"D","03/16/2013 00:00:00",55,"M","In Water",201303
201304,23,0,1007315,436912,"D","04/23/2013 00:00:00",57,"F","Outside/Open Areas",201304
201304,29,0,20013,437702,"I","04/29/2013 00:00:00",20,"F","Vehicle/Towed Trailer",201304
201304,9,0,20029,438967,"D","04/09/2013 00:00:00",35,"F","Outside/Open Areas",201304
201304,29,0,1007326,439576,"D","04/29/2013 00:00:00",55,"M","In Water",201304
201304,28,0,1007325,439635,"I","04/28/2013 00:00:00",51,"M","Outside/Open Areas",201304
201304,11,0,1007327,439748,"D","04/11/2013 00:00:00",28,"M","Business",201304
201304,18,0,1007305,446122,"D","04/18/2013 00:00:00",80,"F","Vehicle/Towed Trailer",201304
201304,27,0,1007308,447041,"D","04/27/2013 00:00:00",66,"M","In Water",201304
201304,27,0,1007309,447041,"D","04/27/2013 00:00:00",36,"M","In Water",201304
201304,20,0,1007310,447506,"D","04/20/2013 00:00:00",32,"M","Outside/Open Areas",201304
201304,20,0,1007311,447506,"D","04/20/2013 00:00:00",32,"M","Outside/Open Areas",201304
201304,20,0,1007312,447506,"D","04/20/2013 00:00:00",33,"M","Outside/Open Areas",201304
201304,20,0,1007313,447506,"D","04/20/2013 00:00:00",33,"M","Outside/Open Areas",201304
201304,20,0,1007314,447506,"D","04/20/2013 00:00:00",36,"M","Outside/Open Areas",201304
201304,13,0,1007316,447853,"D","04/13/2013 00:00:00",,"F","Outside/Open Areas",201304
201304,13,0,1007317,447854,"D","04/13/2013 00:00:00",,"M","Outside/Open Areas",201304
201304,3,0,1007318,448122,"D","04/03/2013 00:00:00",64,"M","In Water",201304
201304,19,0,1007319,448423,"D","04/19/2013 00:00:00",64,"M","Vehicle/Towed Trailer",201304
201304,20,0,1007320,448423,"D","04/20/2013 00:00:00",42,"M","Vehicle/Towed Trailer",201304
201304,3,0,20244,448660,"D","04/03/2013 00:00:00",18,"M","Vehicle/Towed Trailer",201304
201304,3,0,1007321,448662,"D","04/03/2013 00:00:00",62,"M","Outside/Open Areas",201304
201304,3,0,1007322,448693,"D","04/03/2013 00:00:00",56,"M","Vehicle/Towed Trailer",201304
201304,11,0,1007323,448845,"I","04/11/2013 00:00:00",66,"M","Permanent Home",201304
201304,11,0,20252,448926,"D","04/11/2013 00:00:00",34,"M","Outside/Open Areas",201304
201304,28,0,1007324,449551,"D","04/28/2013 00:00:00",44,"F","In Water",201304
201303,18,0,20003,437021,"D","03/18/2013 00:00:00",65,"M","Vehicle/Towed Trailer",201303
201303,18,0,20004,437032,"I","03/18/2013 00:00:00",,"M","Vehicle/Towed Trailer",201303
201303,22,0,1007328,451396,"D","03/22/2013 00:00:00",70,"M","Vehicle/Towed Trailer",201303
201301,31,0,19972,429685,"D","01/31/2013 00:00:00",26,"F","Camping",201301
201304,18,0,1007337,440073,"D","04/18/2013 00:00:00",62,"F","Vehicle/Towed Trailer",201304
201305,9,0,20390,440213,"D","05/09/2013 00:00:00",75,"M","Vehicle/Towed Trailer",201305
201305,9,0,20391,440213,"D","05/09/2013 00:00:00",7,"M","Vehicle/Towed Trailer",201305
201306,8,0,1007424,445096,"D","06/08/2013 00:00:00",68,"M","In Water",201306
201306,9,0,1007422,445169,"D","06/09/2013 00:00:00",44,"M","In Water",201306
201306,11,0,1007302,445578,"D","06/11/2013 00:00:00",67,"M","In Water",201306
201306,9,0,1007423,445169,"D","06/09/2013 00:00:00",48,"M","In Water",201306
201306,7,0,1007298,445350,"D","06/07/2013 00:00:00",49,"M","Outside/Open Areas",201306
201306,30,0,1007351,459593,"D","06/30/2013 00:00:00",29,"M","Outside/Open Areas",201306
201306,30,0,1007352,459593,"D","06/30/2013 00:00:00",23,"M","Outside/Open Areas",201306
201306,30,0,1007353,459593,"D","06/30/2013 00:00:00",31,"M","Outside/Open Areas",201306
201306,30,0,1007354,459593,"D","06/30/2013 00:00:00",24,"M","Outside/Open Areas",201306
201307,20,0,1007372,463569,"D","07/20/2013 00:00:00",26,"M","In Water",201307
201306,30,0,1007355,459593,"D","06/30/2013 00:00:00",30,"M","Outside/Open Areas",201306
201306,30,0,1007356,459593,"D","06/30/2013 00:00:00",43,"M","Outside/Open Areas",201306
201306,30,0,1007357,459593,"D","06/30/2013 00:00:00",21,"M","Outside/Open Areas",201306
201306,30,0,1007358,459593,"D","06/30/2013 00:00:00",26,"M","Outside/Open Areas",201306
201306,30,0,1007359,459593,"D","06/30/2013 00:00:00",28,"M","Outside/Open Areas",201306
201306,30,0,1007360,459593,"D","06/30/2013 00:00:00",22,"M","Outside/Open Areas",201306
201306,30,0,1007361,459593,"D","06/30/2013 00:00:00",24,"M","Outside/Open Areas",201306
201306,30,0,20545,459593,"D","06/30/2013 00:00:00",23,"M","Outside/Open Areas",201306
201306,30,0,1007362,459593,"D","06/30/2013 00:00:00",36,"M","Outside/Open Areas",201306
201306,30,0,1007363,459593,"D","06/30/2013 00:00:00",32,"M","Outside/Open Areas",201306
201306,30,0,1007364,459593,"D","06/30/2013 00:00:00",27,"M","Outside/Open Areas",201306
201306,30,0,1007365,459593,"D","06/30/2013 00:00:00",25,"M","Outside/Open Areas",201306
201306,30,0,1007366,459593,"D","06/30/2013 00:00:00",28,"M","Outside/Open Areas",201306
201306,30,0,1007367,459593,"D","06/30/2013 00:00:00",21,"M","Outside/Open Areas",201306
201306,30,0,1007368,459593,"D","06/30/2013 00:00:00",27,"M","Outside/Open Areas",201306
201307,20,0,1007373,463570,"D","07/20/2013 00:00:00",,"","In Water",201307
201307,22,0,1007374,463669,"D","07/22/2013 00:00:00",21,"M","Outside/Open Areas",201307
201308,2,0,1007415,474816,"D","08/02/2013 00:00:00",20,"M","Outside/Open Areas",201308
201308,26,0,21024,478990,"D","08/26/2013 00:00:00",47,"F","In Water",201308
201306,25,0,1007417,477651,"D","06/25/2013 00:00:00",23,"M","In Water",201306
201308,10,0,1007421,478251,"D","08/10/2013 00:00:00",26,"M","In Water",201308
201307,8,0,21006,478252,"D","07/08/2013 00:00:00",13,"F","In Water",201307
201308,5,0,1007432,479078,"D","08/05/2013 00:00:00",62,"F","In Water",201308
201307,6,0,21035,479079,"D","07/06/2013 00:00:00",14,"F","In Water",201307
201311,25,0,1007428,478583,"I","11/25/2013 00:00:00",68,"F","Vehicle/Towed Trailer",201311
201311,22,0,21023,478960,"D","11/22/2013 00:00:00",4,"F","Vehicle/Towed Trailer",201311
201311,30,0,1007431,479025,"D","11/30/2013 00:00:00",,"","Vehicle/Towed Trailer",201311
201311,27,0,21062,480069,"I","11/27/2013 00:00:00",38,"F","Vehicle/Towed Trailer",201311
201311,27,0,1007449,480924,"D","11/27/2013 00:00:00",22,"F","Under Tree",201311
201311,27,0,1007450,480924,"D","11/27/2013 00:00:00",23,"F","Under Tree",201311
201311,2,0,1007473,482200,"D","11/02/2013 00:00:00",69,"M","Under Tree",201311
201311,17,0,1007486,480989,"D","11/17/2013 00:00:00",58,"F","Mobile/Trailer Home",201311
201311,17,0,1007487,480989,"D","11/17/2013 00:00:00",56,"M","Mobile/Trailer Home",201311
201311,17,0,1007488,480989,"D","11/17/2013 00:00:00",63,"F","Mobile/Trailer Home",201311
201311,13,0,1007459,481376,"D","11/13/2013 00:00:00",32,"M","In Water",201311
201311,17,0,1007477,482450,"D","11/17/2013 00:00:00",80,"M","Permanent Home",201311
201311,17,0,1007478,482450,"D","11/17/2013 00:00:00",78,"F","Permanent Home",201311
201311,23,0,21187,482580,"I","11/23/2013 00:00:00",53,"M","Vehicle/Towed Trailer",201311
201311,26,0,1007499,484342,"D","11/26/2013 00:00:00",,"","Vehicle/Towed Trailer",201311
201311,21,0,1007503,482834,"I","11/21/2013 00:00:00",32,"F","Outside/Open Areas",201311
201311,22,0,21275,484675,"D","11/22/2013 00:00:00",57,"M","In Water",201311
201311,17,0,1007525,483775,"D","11/17/2013 00:00:00",51,"M","Permanent Home",201311
201311,28,0,1007526,483775,"D","11/28/2013 00:00:00",82,"F","Permanent Home",201311
201311,23,0,1007498,484087,"D","11/23/2013 00:00:00",52,"M","Outside/Open Areas",201311
201311,22,0,1007501,484537,"I","11/22/2013 00:00:00",41,"M","Vehicle/Towed Trailer",201311
201311,22,0,1007500,484538,"D","11/22/2013 00:00:00",,"F","Vehicle/Towed Trailer",201311
201311,15,0,1007502,484736,"D","11/15/2013 00:00:00",,"M","Boating",201311
201311,18,0,1007505,485470,"D","11/18/2013 00:00:00",23,"M","Heavy Equipment/Construction",201311
201311,20,0,1007509,486061,"D","11/20/2013 00:00:00",22,"M","In Water",201311
201311,21,0,1007510,486127,"D","11/21/2013 00:00:00",24,"M","Under Tree",201311
201311,21,0,1007511,486129,"I","11/21/2013 00:00:00",29,"M","Vehicle/Towed Trailer",201311
201309,14,0,1007429,469205,"D","09/14/2013 00:00:00",83,"M","Vehicle/Towed Trailer",201309
201309,2,0,1007413,470954,"D","09/02/2013 00:00:00",31,"M","Vehicle/Towed Trailer",201309
201309,15,0,1007418,473261,"D","09/15/2013 00:00:00",47,"M","In Water",201309
201309,5,0,20986,475103,"D","09/05/2013 00:00:00",8,"M","Under Tree",201309
201309,10,0,20993,476866,"D","09/10/2013 00:00:00",56,"M","Permanent Home",201309
201309,19,0,20994,476948,"D","09/19/2013 00:00:00",64,"M","Outside/Open Areas",201309
201309,12,0,1007419,478042,"D","09/12/2013 00:00:00",54,"M","In Water",201309
201309,13,0,1007416,476956,"D","09/13/2013 00:00:00",53,"M","Vehicle/Towed Trailer",201309
201309,16,0,1007420,478250,"D","09/16/2013 00:00:00",45,"M","In Water",201309
201310,31,0,1007467,476243,"D","10/31/2013 00:00:00",65,"F","Outside/Open Areas",201310
201310,30,0,1007430,479021,"I","10/30/2013 00:00:00",90,"M","Vehicle/Towed Trailer",201310
201310,29,0,1007437,479305,"I","10/29/2013 00:00:00",76,"M","Vehicle/Towed Trailer",201310
201310,29,0,1007438,479305,"I","10/29/2013 00:00:00",46,"M","Vehicle/Towed Trailer",201310
201310,29,0,21061,479305,"I","10/29/2013 00:00:00",51,"M","Vehicle/Towed Trailer",201310
201310,4,0,1007455,480032,"I","10/04/2013 00:00:00",,"M","Outside/Open Areas",201310
201310,5,0,21113,480032,"I","10/05/2013 00:00:00",,"F","Permanent Home",201310
201310,5,0,21114,480032,"I","10/05/2013 00:00:00",,"M","Permanent Structure",201310
201310,14,0,1007439,480231,"I","10/14/2013 00:00:00",43,"M","Vehicle/Towed Trailer",201310
201310,14,0,1007440,480232,"I","10/14/2013 00:00:00",26,"M","Vehicle/Towed Trailer",201310
201310,14,0,1007442,480233,"I","10/14/2013 00:00:00",24,"F","Vehicle/Towed Trailer",201310
201310,14,0,1007441,480234,"I","10/14/2013 00:00:00",65,"F","Vehicle/Towed Trailer",201310
201310,31,0,1007458,481043,"D","10/31/2013 00:00:00",26,"M","In Water",201310
201310,31,0,1007460,481484,"D","10/31/2013 00:00:00",51,"M","Vehicle/Towed Trailer",201310
201310,31,0,1007462,481485,"D","10/31/2013 00:00:00",57,"F","Vehicle/Towed Trailer",201310
201310,31,0,1007463,481489,"D","10/31/2013 00:00:00",51,"M","In Water",201310
201310,31,0,1007464,481489,"D","10/31/2013 00:00:00",31,"F","Vehicle/Towed Trailer",201310
201310,31,0,1007465,481489,"D","10/31/2013 00:00:00",1,"M","Vehicle/Towed Trailer",201310
201310,31,0,1007466,481489,"D","10/31/2013 00:00:00",72,"M","Vehicle/Towed Trailer",201310
201310,13,0,1007457,481159,"D","10/13/2013 00:00:00",50,"M","Outside/Open Areas",201310
